n_mfcc,round,center_0_x,center_0_y,center_1_x,center_1_y,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
5,9,-55.13417,10.077443,-107.342445,7.835316,476,513,303,7,0.7613548883756736,0.6110397946084724,0.9855072463768116,0.6286764705882353,0.7543581616481774
6,0,-54.19315,10.25852,-107.265625,7.750842,475,532,284,7,0.775808936825886,0.6258234519104084,0.9854771784232366,0.6519607843137255,0.7655116841257051
6,1,-54.168495,10.149902,-106.29138,8.233472,473,529,287,10,0.7713625866050808,0.6223684210526316,0.979296066252588,0.6482843137254902,0.7610619469026547
6,2,-54.54346,10.056095,-106.24397,7.7929916,476,528,287,7,0.773497688751926,0.6238532110091743,0.9855072463768116,0.6478527607361964,0.7640449438202247
6,3,-54.94143,10.054146,-106.09129,7.8460617,475,512,304,8,0.7598152424942263,0.6097560975609756,0.9834368530020704,0.6274509803921569,0.7527733755942947
6,4,-54.43102,10.021215,-106.04663,8.028656,481,518,298,2,0.76905311778291,0.6174582798459564,0.9958592132505176,0.6348039215686274,0.7622820919175911
6,5,-53.390514,10.229278,-105.44632,7.8081,468,544,272,14,0.7796610169491526,0.6324324324324324,0.970954356846473,0.6666666666666666,0.7659574468085106
6,6,-53.697517,10.221488,-107.25476,7.761133,476,547,269,7,0.7875288683602771,0.6389261744966444,0.9855072463768116,0.6703431372549019,0.7752442996742672
6,7,-54.59796,10.129278,-106.302734,8.02607,473,519,296,9,0.7648419429452583,0.6150845253576073,0.9813278008298755,0.6368098159509202,0.7561950439648281
6,8,-54.846046,10.174905,-106.407745,7.9560156,477,518,298,5,0.7665639445300462,0.6154838709677419,0.9896265560165975,0.6348039215686274,0.7589498806682577
6,9,-54.216835,10.135925,-105.82592,8.150654,473,523,293,10,0.766743648960739,0.6174934725848564,0.979296066252588,0.6409313725490197,0.7574059247397918
7,0,-53.990818,9.994774,-106.33188,7.743623,480,519,297,2,0.7696456086286595,0.6177606177606177,0.995850622406639,0.6360294117647058,0.7625099285146941
7,1,-54.202084,10.052886,-106.5995,7.816201,472,507,309,11,0.7536566589684373,0.6043533930857875,0.9772256728778468,0.6213235294117647,0.7468354430379748
7,2,-54.912746,10.090359,-107.76509,7.7461057,475,497,319,8,0.7482678983833718,0.5982367758186398,0.9834368530020704,0.6090686274509803,0.7439310884886453
7,3,-53.693764,10.036037,-107.05851,7.85029,474,524,292,9,0.7682832948421863,0.618798955613577,0.9813664596273292,0.6421568627450981,0.7590072057646117
7,4,-54.398216,10.210848,-106.770386,7.6543636,476,512,304,7,0.76058506543495,0.6102564102564103,0.9855072463768116,0.6274509803921569,0.753760886777514
7,5,-53.98484,9.979992,-106.199295,7.6671143,473,533,282,10,0.7750385208012327,0.6264900662251656,0.979296066252588,0.6539877300613497,0.7641357027463651
7,6,-54.119278,10.149301,-105.97788,7.8319244,477,521,294,6,0.7688751926040062,0.6186770428015564,0.9875776397515528,0.6392638036809816,0.7607655502392344
7,7,-52.97355,10.2040415,-105.45558,7.7024302,472,541,275,11,0.7798306389530408,0.6318607764390897,0.9772256728778468,0.6629901960784313,0.767479674796748
7,8,-55.07289,10.030962,-107.40404,7.7740936,477,515,301,5,0.7642526964560863,0.6131105398457584,0.9896265560165975,0.6311274509803921,0.7571428571428571
7,9,-53.49787,10.351032,-106.19304,7.780931,477,528,288,6,0.7736720554272517,0.6235294117647059,0.9875776397515528,0.6470588235294118,0.7644230769230769
8,0,-53.568348,10.081423,-105.98299,7.958475,470,534,281,13,0.773497688751926,0.625832223701731,0.9730848861283644,0.6552147239263804,0.7617504051863857
8,1,-55.25777,10.037325,-106.475975,7.6690803,476,527,289,6,0.7727272727272727,0.6222222222222222,0.9875518672199171,0.6458333333333334,0.7634322373696872
8,2,-53.932503,10.085463,-107.12291,7.881754,474,513,303,9,0.7598152424942263,0.61003861003861,0.9813664596273292,0.6286764705882353,0.7523809523809523
8,3,-54.37306,10.007451,-106.80499,7.9004335,475,534,282,8,0.7767513471901463,0.6274768824306473,0.9834368530020704,0.6544117647058824,0.7661290322580644
8,4,-53.47959,10.161205,-105.843,7.802588,474,516,300,9,0.7621247113163973,0.6124031007751938,0.9813664596273292,0.6323529411764706,0.7541766109785202
8,5,-54.724518,10.078356,-106.646454,7.8097773,478,531,285,5,0.7767513471901463,0.6264744429882044,0.989648033126294,0.6507352941176471,0.7672552166934189
8,6,-53.338352,10.242885,-106.09596,7.623049,476,521,295,6,0.7681047765793528,0.6173800259403373,0.9875518672199171,0.6384803921568627,0.7597765363128492
8,7,-54.81272,10.060401,-107.05849,7.946481,478,490,326,5,0.7451886066204773,0.5945273631840796,0.989648033126294,0.6004901960784313,0.7428127428127429
8,8,-54.665443,10.13264,-106.389496,7.9206877,478,513,302,5,0.763482280431433,0.6128205128205129,0.989648033126294,0.6294478527607362,0.7569279493269992
8,9,-53.160732,10.437355,-105.24828,7.7986712,478,545,271,5,0.7875288683602771,0.6381842456608812,0.989648033126294,0.6678921568627451,0.7759740259740259
9,0,-53.713997,10.270751,-106.23105,7.8254814,473,535,281,10,0.7759815242494227,0.6273209549071618,0.979296066252588,0.6556372549019608,0.7647534357316087
9,1,-53.627975,10.009194,-105.10817,7.9512568,474,529,286,9,0.7727272727272727,0.6236842105263158,0.9813664596273292,0.649079754601227,0.7626709573612229
9,2,-55.108376,10.064017,-107.693565,7.843321,476,498,318,7,0.7498075442648191,0.5994962216624685,0.9855072463768116,0.6102941176470589,0.745497259201253
9,3,-53.311466,10.1729355,-105.92934,7.8867793,468,526,290,14,0.765793528505393,0.6174142480211082,0.970954356846473,0.6446078431372549,0.7548387096774194
9,4,-54.49553,10.058644,-106.42118,8.014994,475,521,295,8,0.766743648960739,0.6168831168831169,0.9834368530020704,0.6384803921568627,0.7581803671189146
9,5,-54.292484,10.090577,-106.22445,8.091277,468,523,293,15,0.7628945342571208,0.6149802890932983,0.968944099378882,0.6409313725490197,0.752411575562701
9,6,-54.34322,10.051554,-106.93318,7.7780437,473,519,297,10,0.7636643571978445,0.6142857142857143,0.979296066252588,0.6360294117647058,0.7549880287310455
9,7,-54.015583,10.127409,-105.80122,7.7403316,473,529,287,10,0.7713625866050808,0.6223684210526316,0.979296066252588,0.6482843137254902,0.7610619469026547
9,8,-53.85992,10.151225,-106.094215,7.98475,473,507,309,10,0.7544264819091608,0.6048593350383632,0.979296066252588,0.6213235294117647,0.7478260869565218
9,9,-54.5864,10.162948,-106.36879,8.202348,478,538,278,5,0.7821401077752117,0.6322751322751323,0.989648033126294,0.6593137254901961,0.771589991928975
10,0,-54.96175,10.041222,-106.858376,7.904863,474,526,290,9,0.7698229407236336,0.6204188481675392,0.9813664596273292,0.6446078431372549,0.7602245388933441
10,1,-54.986958,10.181757,-107.63563,7.79572,477,510,306,6,0.7598152424942263,0.6091954022988506,0.9875776397515528,0.625,0.7535545023696683
10,2,-54.258,10.016327,-106.96609,7.8085895,477,521,295,6,0.7682832948421863,0.6178756476683938,0.9875776397515528,0.6384803921568627,0.7601593625498008
10,3,-53.29816,10.170798,-105.39923,8.083577,478,533,283,5,0.7782909930715936,0.6281208935611038,0.989648033126294,0.6531862745098039,0.7684887459807074
10,4,-54.279987,10.141234,-106.59162,8.093488,479,536,280,4,0.7813702848344881,0.6310935441370223,0.9917184265010351,0.6568627450980392,0.7713365539452496
10,5,-55.38368,10.002037,-106.777145,7.8862424,478,520,295,5,0.7688751926040062,0.6183699870633894,0.989648033126294,0.6380368098159509,0.7611464968152867
10,6,-54.024097,10.071344,-106.11812,7.772032,470,524,291,13,0.765793528505393,0.6176084099868594,0.9730848861283644,0.6429447852760736,0.7556270096463023
10,7,-53.846893,10.043753,-106.55648,7.996587,477,532,284,6,0.7767513471901463,0.6268068331143233,0.9875776397515528,0.6519607843137255,0.7668810289389068
10,8,-55.31362,10.030666,-107.38013,7.980067,476,520,296,7,0.766743648960739,0.616580310880829,0.9855072463768116,0.6372549019607843,0.758565737051793
10,9,-53.96594,10.146554,-106.318726,7.7052937,476,534,282,6,0.7781201848998459,0.6279683377308707,0.9875518672199171,0.6544117647058824,0.767741935483871
11,0,-54.920338,10.120265,-107.2953,7.7169795,475,518,298,8,0.7644341801385681,0.6144890038809832,0.9834368530020704,0.6348039215686274,0.7563694267515925
11,1,-53.756794,10.273815,-105.793884,7.7546177,476,538,278,7,0.7806004618937644,0.6312997347480106,0.9855072463768116,0.6593137254901961,0.7696038803556993
11,2,-54.08846,10.232173,-107.12326,7.964849,476,526,289,6,0.7725520431765613,0.6222222222222222,0.9875518672199171,0.645398773006135,0.7634322373696872
11,3,-54.774166,10.021638,-107.12311,7.7326894,473,534,282,10,0.775211701308699,0.6264900662251656,0.979296066252588,0.6544117647058824,0.7641357027463651
11,4,-53.54406,10.065023,-106.049164,7.889426,470,528,288,13,0.7682832948421863,0.6200527704485488,0.9730848861283644,0.6470588235294118,0.7574536663980661
11,5,-54.742676,10.088887,-106.810486,7.982441,474,510,306,9,0.7575057736720554,0.6076923076923076,0.9813664596273292,0.625,0.7505938242280285
11,6,-54.941402,9.999527,-107.61619,7.7463813,475,516,299,8,0.763482280431433,0.6136950904392765,0.9834368530020704,0.6331288343558282,0.7557677008750995
11,7,-53.395016,10.148983,-106.33013,7.8627343,470,521,295,12,0.763482280431433,0.6143790849673203,0.975103734439834,0.6384803921568627,0.7538091419406575
11,8,-54.211067,10.165144,-106.403534,7.5767164,470,529,286,12,0.7702390131071704,0.6216931216931217,0.975103734439834,0.649079754601227,0.7592891760904684
11,9,-54.641212,10.058386,-107.64746,7.621592,476,508,308,7,0.7575057736720554,0.6071428571428571,0.9855072463768116,0.6225490196078431,0.7513812154696132
12,0,-55.22701,10.115488,-106.55819,7.805473,476,520,296,6,0.7673343605546995,0.616580310880829,0.9875518672199171,0.6372549019607843,0.7591706539074959
12,1,-55.177193,10.030574,-107.80806,8.054941,477,524,292,6,0.7705927636643572,0.6202860858257477,0.9875776397515528,0.6421568627450981,0.7619808306709266
12,2,-53.54342,9.996224,-105.72383,7.9824176,479,534,282,4,0.7798306389530408,0.6294349540078844,0.9917184265010351,0.6544117647058824,0.7700964630225081
12,3,-54.386097,9.883762,-107.1987,7.8397694,476,522,294,7,0.7682832948421863,0.6181818181818182,0.9855072463768116,0.6397058823529411,0.7597765363128492
12,4,-55.04547,9.909204,-107.57146,7.9305463,476,537,279,7,0.7798306389530408,0.6304635761589404,0.9855072463768116,0.6580882352941176,0.7689822294022618
12,5,-53.470932,10.161152,-106.49667,7.770233,474,520,295,9,0.765793528505393,0.6163849154746424,0.9813664596273292,0.6380368098159509,0.7571884984025559
12,6,-53.349106,10.131036,-105.98072,7.96777,476,517,299,7,0.7644341801385681,0.6141935483870967,0.9855072463768116,0.633578431372549,0.7567567567567568
12,7,-54.987255,9.9271755,-107.03342,7.9926915,477,531,284,6,0.7765793528505393,0.6268068331143233,0.9875776397515528,0.6515337423312884,0.7668810289389068
12,8,-53.70855,10.099333,-105.47708,7.927434,474,515,301,9,0.7613548883756736,0.6116129032258064,0.9813664596273292,0.6311274509803921,0.7535771065182829
12,9,-54.64001,10.061786,-107.1995,7.9001036,477,520,296,6,0.7675134719014627,0.6170763260025873,0.9875776397515528,0.6372549019607843,0.7595541401273885
13,0,-52.84239,10.2063265,-106.350845,7.8726854,478,541,275,5,0.7844495765973826,0.6347941567065073,0.989648033126294,0.6629901960784313,0.7734627831715211
13,1,-53.24843,10.174148,-106.22317,7.9024525,474,540,276,9,0.7806004618937644,0.632,0.9813664596273292,0.6617647058823529,0.7688564476885645
13,2,-53.45615,10.267686,-106.107254,7.829658,477,539,276,5,0.7833461835003855,0.6334661354581673,0.9896265560165975,0.6613496932515337,0.7724696356275303
13,3,-54.058556,10.101791,-107.037315,7.795723,477,530,286,5,0.775808936825886,0.6251638269986893,0.9896265560165975,0.6495098039215687,0.7662650602409639
13,4,-53.107998,10.219816,-104.68797,8.059729,476,567,249,7,0.8029253271747498,0.6565517241379311,0.9855072463768116,0.6948529411764706,0.7880794701986755
13,5,-53.49974,10.159088,-105.480606,8.080626,475,545,271,8,0.7852193995381063,0.6367292225201072,0.9834368530020704,0.6678921568627451,0.772986167615948
13,6,-54.55601,10.011477,-106.41734,8.089548,478,537,279,5,0.7813702848344881,0.631439894319683,0.989648033126294,0.6580882352941176,0.7709677419354839
13,7,-53.705475,10.11838,-105.60471,8.024054,474,532,284,9,0.7744418783679754,0.6253298153034301,0.9813664596273292,0.6519607843137255,0.7639000805801773
13,8,-53.557777,10.022585,-106.15486,7.725716,469,523,293,14,0.7636643571978445,0.615485564304462,0.9710144927536232,0.6409313725490197,0.753413654618474
13,9,-54.256935,10.10424,-105.10426,8.100287,475,524,292,8,0.76905311778291,0.6192959582790091,0.9834368530020704,0.6421568627450981,0.76
14,0,-53.78122,9.945352,-106.105865,7.8274417,475,521,295,8,0.766743648960739,0.6168831168831169,0.9834368530020704,0.6384803921568627,0.7581803671189146
14,1,-52.981133,10.15115,-105.82729,7.859446,473,543,273,10,0.7821401077752117,0.6340482573726541,0.979296066252588,0.6654411764705882,0.7697314890154597
14,2,-53.75003,10.125285,-106.172745,7.6700153,473,540,276,9,0.7804314329738059,0.6315086782376502,0.9813278008298755,0.6617647058823529,0.768480909829407
