n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
9,8,9,283,533,474,0.22478829869130101,0.016605166051660517,0.018633540372670808,0.34681372549019607,0.017560975609756096
9,9,9,290,526,473,0.23035439137134053,0.016822429906542057,0.01867219917012448,0.3553921568627451,0.01769911504424779
10,1,5,285,531,478,0.22324865280985373,0.009328358208955223,0.010351966873706004,0.3492647058823529,0.009813542688910696
10,2,8,288,528,474,0.2280431432973806,0.014925373134328358,0.016597510373443983,0.35294117647058826,0.015717092337917484
10,3,474,537,279,9,0.7782909930715936,0.6294820717131474,0.9813664596273292,0.6580882352941176,0.7669902912621359
10,4,6,300,515,477,0.2357473035439137,0.011516314779270634,0.012422360248447204,0.36809815950920244,0.01195219123505976
10,5,473,514,301,10,0.7604006163328197,0.6111111111111112,0.979296066252588,0.6306748466257669,0.7525855210819412
10,6,6,294,521,477,0.23112480739599384,0.011385199240986717,0.012422360248447204,0.36073619631901843,0.011881188118811881
10,7,7,297,519,476,0.2340261739799846,0.013307984790874524,0.014492753623188406,0.3639705882352941,0.013875123885034688
10,8,9,290,525,473,0.2305319969159599,0.016853932584269662,0.01867219917012448,0.3558282208588957,0.017716535433070866
10,9,11,282,533,472,0.22573189522342066,0.02022058823529412,0.022774327122153208,0.3460122699386503,0.021421616358325218
11,1,4,305,511,479,0.23787528868360278,0.007766990291262136,0.008281573498964804,0.3737745098039216,0.008016032064128256
11,2,472,515,301,11,0.7598152424942263,0.610608020698577,0.9772256728778468,0.6311274509803921,0.7515923566878981
11,3,464,590,226,18,0.8120184899845917,0.672463768115942,0.9626556016597511,0.7230392156862745,0.7918088737201364
11,4,472,553,263,10,0.7896764252696457,0.6421768707482993,0.979253112033195,0.6776960784313726,0.7756778964667215
11,5,468,511,305,14,0.7542372881355932,0.6054333764553687,0.970954356846473,0.6262254901960784,0.745816733067729
11,6,473,517,299,10,0.7621247113163973,0.6126943005181347,0.979296066252588,0.633578431372549,0.7537848605577688
11,7,5,296,520,478,0.2317167051578137,0.009523809523809525,0.010351966873706004,0.3627450980392157,0.009920634920634922
11,8,6,287,529,477,0.22555812163202463,0.011214953271028037,0.012422360248447204,0.35171568627450983,0.011787819253438114
11,9,478,535,281,5,0.7798306389530408,0.6297760210803689,0.989648033126294,0.6556372549019608,0.7697262479871176
12,1,3,313,503,480,0.2432640492686682,0.005928853754940711,0.006211180124223602,0.38357843137254904,0.006066734074823054
12,2,475,513,303,8,0.76058506543495,0.6105398457583547,0.9834368530020704,0.6286764705882353,0.753370340999207
12,3,4,280,536,478,0.21879815100154082,0.007407407407407408,0.008298755186721992,0.3431372549019608,0.007827788649706457
12,4,474,565,251,9,0.7998460354118553,0.6537931034482759,0.9813664596273292,0.6924019607843137,0.7847682119205298
12,5,12,286,530,471,0.2294072363356428,0.02214022140221402,0.024844720496894408,0.35049019607843135,0.02341463414634146
12,6,473,526,290,9,0.7696456086286595,0.6199213630406291,0.9813278008298755,0.6446078431372549,0.7598393574297189
12,7,469,518,298,14,0.7598152424942263,0.6114732724902217,0.9710144927536232,0.6348039215686274,0.7504000000000001
12,8,473,520,296,10,0.7644341801385681,0.6150845253576073,0.979296066252588,0.6372549019607843,0.7555910543130991
12,9,9,313,503,473,0.24807395993836673,0.017578125,0.01867219917012448,0.38357843137254904,0.01810865191146881
13,1,476,517,299,7,0.7644341801385681,0.6141935483870967,0.9855072463768116,0.633578431372549,0.7567567567567568
13,2,474,537,279,9,0.7782909930715936,0.6294820717131474,0.9813664596273292,0.6580882352941176,0.7669902912621359
13,3,9,304,512,474,0.2409545804464973,0.01727447216890595,0.018633540372670808,0.37254901960784315,0.017928286852589643
13,4,476,511,305,7,0.7598152424942263,0.6094750320102432,0.9855072463768116,0.6262254901960784,0.7531645569620252
13,5,478,512,303,5,0.7627118644067796,0.6120358514724712,0.989648033126294,0.6282208588957056,0.7563291139240506
13,6,8,295,521,475,0.23325635103926096,0.015122873345935728,0.016563146997929608,0.36151960784313725,0.0158102766798419
13,7,6,258,557,477,0.2033898305084746,0.010657193605683837,0.012422360248447204,0.3165644171779141,0.011472275334608031
13,8,3,306,510,480,0.23787528868360278,0.005847953216374269,0.006211180124223602,0.375,0.006024096385542169
13,9,10,297,519,473,0.2363356428021555,0.01890359168241966,0.020703933747412008,0.3639705882352941,0.019762845849802372
14,1,473,510,306,9,0.7573189522342064,0.6071887034659821,0.9813278008298755,0.625,0.7501982553528945
14,2,469,533,282,14,0.7719568567026194,0.6245006657789614,0.9710144927536232,0.6539877300613497,0.7601296596434359
14,3,473,510,306,10,0.7567359507313318,0.6071887034659821,0.979296066252588,0.625,0.7496038034865293
14,4,12,265,550,471,0.21340523882896764,0.021352313167259787,0.024844720496894408,0.32515337423312884,0.022966507177033493
14,5,3,306,510,480,0.23787528868360278,0.005847953216374269,0.006211180124223602,0.375,0.006024096385542169
14,6,478,510,306,5,0.76058506543495,0.6096938775510204,0.989648033126294,0.625,0.7545382794001579
14,7,475,519,297,8,0.7652040030792918,0.6152849740932642,0.9834368530020704,0.6360294117647058,0.7569721115537849
14,8,8,279,537,474,0.22110939907550076,0.014678899082568808,0.016597510373443983,0.34191176470588236,0.015579357351509253
14,9,11,288,527,471,0.2305319969159599,0.020446096654275093,0.022821576763485476,0.35337423312883437,0.021568627450980392
15,1,477,511,305,6,0.76058506543495,0.6099744245524297,0.9875776397515528,0.6262254901960784,0.7541501976284586
15,2,478,533,283,5,0.7782909930715936,0.6281208935611038,0.989648033126294,0.6531862745098039,0.7684887459807074
15,3,11,274,542,472,0.21939953810623555,0.019891500904159132,0.022774327122153208,0.33578431372549017,0.02123552123552123
15,4,474,531,285,8,0.7742681047765794,0.6245059288537549,0.983402489626556,0.6507352941176471,0.7639000805801771
15,5,5,285,531,478,0.22324865280985373,0.009328358208955223,0.010351966873706004,0.3492647058823529,0.009813542688910696
15,6,8,296,519,475,0.23420647149460708,0.015180265654648957,0.016563146997929608,0.36319018404907977,0.015841584158415842
15,7,9,311,504,474,0.2465331278890601,0.017543859649122806,0.018633540372670808,0.3815950920245399,0.018072289156626505
15,8,480,537,279,3,0.7829099307159353,0.6324110671936759,0.9937888198757764,0.6580882352941176,0.7729468599033817
15,9,479,521,295,4,0.7698229407236336,0.6188630490956072,0.9917184265010351,0.6384803921568627,0.762132060461416
16,1,476,533,282,7,0.7773497688751926,0.6279683377308707,0.9855072463768116,0.6539877300613497,0.7671232876712328
16,2,475,507,309,8,0.7559661277906081,0.6058673469387755,0.9834368530020704,0.6213235294117647,0.7498026835043409
16,3,6,247,569,477,0.19476520400307928,0.010434782608695653,0.012422360248447204,0.30269607843137253,0.011342155009451797
16,4,10,301,515,473,0.23941493456505003,0.01904761904761905,0.020703933747412008,0.36887254901960786,0.019841269841269844
16,5,469,493,323,14,0.7405696689761355,0.5921717171717171,0.9710144927536232,0.6041666666666666,0.735686274509804
16,6,477,536,280,5,0.7804314329738059,0.6301188903566711,0.9896265560165975,0.6568627450980392,0.7699757869249396
16,7,7,277,539,476,0.21862971516551194,0.01282051282051282,0.014492753623188406,0.3394607843137255,0.01360544217687075
16,8,6,280,535,477,0.22033898305084745,0.011090573012939002,0.012422360248447204,0.34355828220858897,0.01171875
16,9,475,540,276,7,0.7819722650231125,0.6324900133155792,0.9854771784232366,0.6617647058823529,0.7704785077047851
17,1,7,281,535,476,0.22170900692840648,0.012915129151291513,0.014492753623188406,0.3443627450980392,0.013658536585365854
17,2,477,534,282,6,0.7782909930715936,0.6284584980237155,0.9875776397515528,0.6544117647058824,0.7681159420289855
17,3,11,287,529,472,0.2294072363356428,0.020370370370370372,0.022774327122153208,0.35171568627450983,0.021505376344086023
17,4,469,595,221,14,0.8190916089299461,0.6797101449275362,0.9710144927536232,0.7291666666666666,0.7996589940323956
17,5,8,296,520,475,0.2340261739799846,0.015151515151515152,0.016563146997929608,0.3627450980392157,0.015825914935707223
17,6,476,523,293,7,0.76905311778291,0.6189856957087126,0.9855072463768116,0.6409313725490197,0.7603833865814698
17,7,474,531,285,9,0.7736720554272517,0.6245059288537549,0.9813664596273292,0.6507352941176471,0.7632850241545893
17,8,9,282,534,474,0.22401847575057737,0.016574585635359115,0.018633540372670808,0.34558823529411764,0.017543859649122806
17,9,10,317,499,473,0.2517321016166282,0.019646365422396856,0.020703933747412008,0.38848039215686275,0.02016129032258064
18,1,10,271,544,473,0.21648690292758088,0.018050541516245487,0.020703933747412008,0.3325153374233129,0.019286403085824494
18,2,473,520,296,9,0.7650231124807396,0.6150845253576073,0.9813278008298755,0.6372549019607843,0.7561950439648281
18,3,8,300,516,474,0.23728813559322035,0.015267175572519083,0.016597510373443983,0.36764705882352944,0.015904572564612324
18,4,11,217,599,471,0.17565485362095531,0.018032786885245903,0.022821576763485476,0.2659313725490196,0.020146520146520148
18,5,478,518,298,5,0.766743648960739,0.615979381443299,0.989648033126294,0.6348039215686274,0.7593328038125496
18,6,474,526,290,9,0.7698229407236336,0.6204188481675392,0.9813664596273292,0.6446078431372549,0.7602245388933441
18,7,470,597,219,13,0.821401077752117,0.6821480406386067,0.9730848861283644,0.7316176470588235,0.8020477815699659
18,8,478,536,279,5,0.7812018489984591,0.631439894319683,0.989648033126294,0.6576687116564417,0.7709677419354839
18,9,10,285,531,473,0.2270977675134719,0.018484288354898338,0.020703933747412008,0.3492647058823529,0.01953125
19,1,477,517,299,5,0.765793528505393,0.6146907216494846,0.9896265560165975,0.633578431372549,0.7583465818759937
19,2,478,520,295,5,0.7688751926040062,0.6183699870633894,0.989648033126294,0.6380368098159509,0.7611464968152867
19,3,5,275,541,478,0.2155504234026174,0.009157509157509158,0.010351966873706004,0.33700980392156865,0.009718172983479108
19,4,6,306,509,477,0.24036979969183359,0.011650485436893204,0.012422360248447204,0.3754601226993865,0.012024048096192385
19,5,5,291,525,478,0.22786759045419552,0.009433962264150943,0.010351966873706004,0.35661764705882354,0.009871668311944718
19,6,8,279,537,475,0.22093918398768284,0.014678899082568808,0.016563146997929608,0.34191176470588236,0.01556420233463035
19,7,472,533,283,11,0.7736720554272517,0.6251655629139072,0.9772256728778468,0.6531862745098039,0.7625201938610662
19,8,473,539,277,9,0.7796610169491526,0.6306666666666667,0.9813278008298755,0.6605392156862745,0.7678571428571429
19,9,477,524,292,6,0.7705927636643572,0.6202860858257477,0.9875776397515528,0.6421568627450981,0.7619808306709266
20,1,473,513,302,10,0.7596302003081664,0.6103225806451613,0.979296066252588,0.6294478527607362,0.751987281399046
20,2,8,276,540,474,0.21879815100154082,0.014598540145985401,0.016597510373443983,0.3382352941176471,0.015533980582524271
20,3,476,546,270,6,0.7873651771956857,0.6380697050938338,0.9875518672199171,0.6691176470588235,0.7752442996742671
20,4,5,320,496,478,0.2501924557351809,0.00998003992015968,0.010351966873706004,0.39215686274509803,0.01016260162601626
20,5,472,511,305,11,0.7567359507313318,0.6074646074646075,0.9772256728778468,0.6262254901960784,0.7492063492063492
20,6,474,518,298,9,0.7636643571978445,0.6139896373056994,0.9813664596273292,0.6348039215686274,0.7553784860557768
20,7,471,500,315,12,0.7480739599383667,0.5992366412213741,0.9751552795031055,0.6134969325153374,0.7423167848699763
20,8,9,321,494,474,0.2542372881355932,0.017892644135188866,0.018633540372670808,0.39386503067484663,0.018255578093306288
20,9,10,286,530,473,0.22786759045419552,0.018518518518518517,0.020703933747412008,0.35049019607843135,0.019550342130987292
21,1,473,551,265,10,0.7882986913010007,0.6409214092140921,0.979296066252588,0.6752450980392157,0.7747747747747749
21,2,14,309,507,469,0.24865280985373364,0.026871401151631478,0.028985507246376812,0.3786764705882353,0.027888446215139442
