n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
13,4,455,774,42,27,0.9468412942989214,0.9154929577464789,0.9439834024896265,0.9485294117647058,0.9295199182839633
13,5,449,738,78,33,0.9144838212634823,0.8519924098671727,0.9315352697095436,0.9044117647058824,0.8899900891972251
13,6,416,726,90,66,0.8798151001540832,0.8221343873517787,0.8630705394190872,0.8897058823529411,0.8421052631578947
13,7,456,767,49,26,0.9422187981510015,0.902970297029703,0.946058091286307,0.9399509803921569,0.9240121580547112
13,8,308,699,117,174,0.775808936825886,0.7247058823529412,0.6390041493775933,0.8566176470588235,0.679162072767365
13,9,448,759,57,34,0.9298921417565486,0.8871287128712871,0.9294605809128631,0.9301470588235294,0.9078014184397163
14,0,438,754,62,44,0.9183359013867488,0.876,0.9087136929460581,0.9240196078431373,0.8920570264765784
14,1,447,744,72,35,0.9175654853620955,0.861271676300578,0.9273858921161826,0.9117647058823529,0.8931068931068932
14,2,436,741,75,46,0.9067796610169492,0.8532289628180039,0.9045643153526971,0.9080882352941176,0.8781470292044309
14,3,382,712,104,100,0.8428351309707242,0.7860082304526749,0.7925311203319502,0.8725490196078431,0.7892561983471074
14,4,449,768,48,33,0.9375963020030816,0.903420523138833,0.9315352697095436,0.9411764705882353,0.9172625127681308
14,5,454,749,67,28,0.9268104776579353,0.8714011516314779,0.941908713692946,0.9178921568627451,0.905284147557328
14,6,454,760,56,28,0.9352850539291218,0.8901960784313725,0.941908713692946,0.9313725490196079,0.9153225806451613
14,7,319,699,117,163,0.7842835130970724,0.731651376146789,0.6618257261410788,0.8566176470588235,0.6949891067538126
14,8,461,770,46,21,0.948382126348228,0.9092702169625246,0.9564315352697096,0.9436274509803921,0.9322548028311425
14,9,386,727,89,96,0.8574730354391371,0.8126315789473684,0.8008298755186722,0.8909313725490197,0.8066875653082549
15,0,439,769,47,43,0.9306625577812019,0.9032921810699589,0.9107883817427386,0.9424019607843137,0.9070247933884298
15,1,455,763,53,27,0.938366718027735,0.8956692913385826,0.9439834024896265,0.9350490196078431,0.9191919191919191
15,2,433,735,81,49,0.8998459167950693,0.8424124513618677,0.8983402489626556,0.9007352941176471,0.8694779116465863
15,3,451,759,57,31,0.9322033898305084,0.8877952755905512,0.9356846473029046,0.9301470588235294,0.9111111111111111
15,4,427,718,98,55,0.8821263482280431,0.8133333333333334,0.8858921161825726,0.8799019607843137,0.8480635551142006
15,5,443,757,59,39,0.9244992295839753,0.8824701195219123,0.9190871369294605,0.9276960784313726,0.9004065040650406
15,6,457,774,42,25,0.948382126348228,0.9158316633266533,0.9481327800829875,0.9485294117647058,0.9317023445463812
15,7,456,757,59,26,0.9345146379044684,0.8854368932038835,0.946058091286307,0.9276960784313726,0.9147442326980944
15,8,455,774,42,27,0.9468412942989214,0.9154929577464789,0.9439834024896265,0.9485294117647058,0.9295199182839633
15,9,356,688,128,126,0.8043143297380585,0.7355371900826446,0.7385892116182573,0.8431372549019608,0.7370600414078674
16,0,262,692,124,220,0.7349768875192604,0.6787564766839378,0.5435684647302904,0.8480392156862745,0.6036866359447003
16,1,450,755,61,32,0.9283513097072419,0.8806262230919765,0.9336099585062241,0.9252450980392157,0.9063444108761329
16,2,454,755,61,28,0.9314329738058552,0.8815533980582524,0.941908713692946,0.9252450980392157,0.9107321965897693
16,3,451,761,55,31,0.9337442218798151,0.8913043478260869,0.9356846473029046,0.9325980392156863,0.9129554655870445
16,4,411,756,60,71,0.899075500770416,0.8726114649681529,0.8526970954356846,0.9264705882352942,0.8625393494228751
16,5,451,773,43,31,0.9429892141756548,0.9129554655870445,0.9356846473029046,0.9473039215686274,0.9241803278688525
16,6,449,763,53,33,0.9337442218798151,0.8944223107569721,0.9315352697095436,0.9350490196078431,0.9126016260162603
16,7,456,765,51,26,0.940677966101695,0.8994082840236687,0.946058091286307,0.9375,0.9221435793731042
16,8,455,763,53,27,0.938366718027735,0.8956692913385826,0.9439834024896265,0.9350490196078431,0.9191919191919191
16,9,407,715,101,75,0.864406779661017,0.8011811023622047,0.8443983402489627,0.8762254901960784,0.8222222222222223
17,0,458,764,52,24,0.9414483821263482,0.8980392156862745,0.950207468879668,0.9362745098039216,0.9233870967741935
17,1,457,749,67,25,0.9291217257318952,0.8721374045801527,0.9481327800829875,0.9178921568627451,0.9085487077534791
17,2,449,754,62,33,0.9268104776579353,0.8786692759295499,0.9315352697095436,0.9240196078431373,0.9043303121852971
17,3,384,732,84,98,0.8597842835130971,0.8205128205128205,0.7966804979253111,0.8970588235294118,0.8084210526315788
17,4,456,768,48,26,0.9429892141756548,0.9047619047619048,0.946058091286307,0.9411764705882353,0.9249492900608518
17,5,276,680,136,206,0.736517719568567,0.6699029126213593,0.5726141078838174,0.8333333333333334,0.6174496644295302
17,6,452,769,47,30,0.940677966101695,0.905811623246493,0.9377593360995851,0.9424019607843137,0.9215086646279307
17,7,329,680,136,153,0.7773497688751926,0.7075268817204301,0.6825726141078838,0.8333333333333334,0.6948257655755016
